id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
85820,Salcio room in B&B La Martellina,470473,Claudio,,Campo di Marte,43.76632,11.34166,Private room,104,2,15,2021-08-16,0.16,4,294,1,
20078945,Casa Bonannia O,141678952,Summer In Italy,,Gavinana Galluzzo,43.72672,11.28301,Entire home/apt,195,90,0,,,3,0,0,
24469,Fortezza/City Centre Modern Apt 2+2,99178,Benedetta And Lorenzo,,Centro Storico,43.7821,11.24392,Entire home/apt,80,2,1,2019-09-27,0.03,4,275,0,
463942,BB Casa Schlatter Artist's Atelier. Room #3,2272298,Alessandra,,Campo di Marte,43.78144,11.28003,Private room,70,3,9,2022-05-21,0.09,4,259,2,
182984,"Central, quiet near the Old Bridge",877420,Filippo,,Centro Storico,43.76554,11.2586,Entire home/apt,110,6,12,2022-04-28,0.12,1,232,4,
189586,Florence Gioberti Suite.,914650,Thomas,,Campo di Marte,43.77069,11.27713,Entire home/apt,110,4,42,2022-04-29,0.37,2,232,8,
463966,Artist atelier-Florence center,2272298,Alessandra,,Campo di Marte,43.77976,11.2801,Entire home/apt,200,3,24,2022-06-06,0.23,4,259,9,
24470,Fortezza/City Centre Modern Apt 2+1,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,70,2,3,2019-04-21,0.02,4,130,0,
464111,Studio Florence historical center,2293087,Alessandro,,Centro Storico,43.77098,11.26275,Entire home/apt,54,4,134,2022-05-31,1.10,1,290,12,
24471,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,135,2,0,,,4,130,0,
191323,LOFT PANDO S.CROCE FLORENCE CENTER,914650,Thomas,,Centro Storico,43.77178,11.26133,Entire home/apt,110,4,72,2019-06-30,0.56,2,146,0,
469515,"2 bedrooms, 2 bathrooms, in the heart of Florence",2329953,Giulia,,Centro Storico,43.77023,11.26429,Entire home/apt,130,2,210,2022-05-04,1.72,3,17,14,
